"연번","CCTV NO.","CCTV명","도로명 주소","지번 주소","","",""
"29","논현1-110","성덕빌딩 주변","학동로 156 ","논현동 126-5","","",""
"30","논현1-111","상명빌딩 주변","강남대로122길 50","논현동 169 ","","",""
"31","논현1-112","스튜디오뉴빌 주변","강남대로146길 10","논현동 21-1","","",""
"32","논현1-113","힐탑호텔 주변","논현로 647","논현동 151-30","","",""
"33","논현1-114","운산빌딩 주변","강남대로 584","논현동 18-4","","",""
"34","논현1-115","우리은행논현남자동화점 주변","학동로6길 48","논현동 159-11","","",""
"35","논현1-116","논현동 디비헤어 주변","봉은사로21길 64 ","논현동 156","","",""
"36","논현2-101","학동역3번출구 주변","학동로 204 ","논현동 207","","",""
"37","논현2-102","학동역2번출구 주변","학동로 212","논현동 208-5","","",""
"38","논현2-103","논현주차장 주변","언주로129길 21 ","논현동 212","","",""
"39","논현2-104","학동역1번출구 주변","학동로 226 ","논현동 209-2","","",""
"40","논현2-105","조일빌딩 주변","도산대로 228 ","논현동 62","","",""
"41","논현2-106","강남라루체 웨딩홀 주변","","논현동 211-14","","",""
"42","논현2-107","강남구청역2번출구 주변","학동로 342 ","논현동 241-6","","",""
"43","논현2-108","동광교회 주변","언주로 605 ","논현동 237-5","","",""
"44","논현2-109","마포숯불갈비 주변","도산대로 234 ","논현동 62-7","","",""
"45","논현2-110","영동한의원 주변","학동로 325 ","논현동 117-3","","",""
"46","논현2-111","서울비전 주변","언주로 619 ","논현동 225-3","","",""
"47","논현2-112","두산빌딩 주변","언주로 728 ","논현동 98-3","","",""
"48","논현2-113","논현동부센트레빌 주변","언주로116길 6 ","논현동 275","","",""
"49","논현2-114","임피리얼팰리스서울 주변","언주로 634","논현동 249 ","","",""
"50","논현2-115","동현아파트 주변","언주로146길 18","논현동 105 ","","",""
"51","논현2-116","신한금융투자 주변","언주로133길 7","논현동 90-3","","",""
"52","논현2-117","주혁빌딩","봉은사로37길 43","논현동 225-1","","",""
"53","논현2-118","이레빌 주변","논현로120길 20","논현동 222-11","","",""
"54","논현2-119","동양파라곤101동앞 주변","언주로130길 30 ","논현동 245","","",""
"55","논현2-120","자동차전시장빌딩 주변","언주로 617","논현동 225-5","","",""
"56","논현2-121","아크로힐스논현 주변","","논현동276-2","","",""
"57","논현2-122","학동초 담장 주변","선릉로115길42","논현동 264-7","","",""
"58","논현2-123","그때그집논현점 주변","선릉로129길 17 ","논현동 242","","",""
"59","논현2-124","파스쿠찌 강남구청역점 주변","선릉로131길 12","논현동 112-21","","",""
"60","논현2-125","논현동 월드타일  주변","논현로126길 9","논현동 213-32","","",""
"61","논현2-126","논현아펠바움1차 101동 주변","학동로42길 35","논현동 250","","",""
"62","논현2-127","vod 스위트 주변","논현로120길 6","논현동 221-1","","",""
"63","논현2-128","논현아이파크아파트 주변","언주로 615","논현동 225-6","","",""
"64","대치1-101","대치상가 주변","남부순환로 2933","대치동 604-1","","",""
"65","대치1-102","남서울종합상가 주변","남부순환로 2921 ","대치동 624","","",""
"66","대치1-103","여천빌딩 주변","남부순환로 2909 ","대치동 651","","",""
"67","대치1-104","농협(대치동지점) 주변","삼성로 237 ","대치동 1021-10","","",""
"68","대치1-105","디마크빌딩 주변","도곡로 408 ","대치동 1024","","",""
"69","대치1-106","대치동함흥면옥 주변","도곡로 420 ","대치동 1023","","",""
"70","대치1-107","덕산빌딩 주변","도곡로 450 ","대치동 1021-3","","",""
"71","대치1-108","래미안대치팰리스1단지 주변","삼성로51길 37","대치동 1027","","",""
"72","대치1-109","래미안대치팰리스 주변","","대치동 1027-1","","",""
"73","대치1-110","단대부고 주변","도곡로64길","대치동 888","","",""
"74","대치1-111","래미안대치팰리스정문 주변","삼성로51길 37","대치동 1027-1","","",""
"75","대치1-112","서울교회 주변","삼성로51길 7","대치동 210","","",""
"76","대치1-113","삼성아파트 주변","도곡로78길 22","대치동 1018","","",""
"77","대치1-114","단대부고담장 주변","도곡로64길 21","대치동 1013","","",""
"78","대치1-115","대치초등학교 정문 주변","남부순환로 394길","","","",""
"79","대치1-116","한광빌딩 주변","도곡로78길 7","대치동 1016","","",""
"80","대치1-117","대치청실아파트소공원 주변","","대치동 212-6","","",""
"81","대치1-118","선경1차아파트 1동 주변","","대치동 504","","",""
"82","대치1-119","대치삼성2차아파트 주변","삼성로57길 45","대치동 1014-1","","",""
"83","대치1-120","래미안대치팰리스 101동 주변","삼성로51길 37","대치동 1027","","",""
"84","대치1-121","대치퍼스트빌딩 주변","삼성로 155","대치동 507-2","","",""
"85","대치2-101","섬유센터 주변","테헤란로 518 ","대치동 944-31","","",""
"86","대치2-102","서림상가 주변","영동대로 221 ","대치동 994-8","","",""
"87","대치2-103","대치래미안하이스턴 주변","도곡로93길 12 ","대치동 985","","",""
"88","대치2-104","성창빌딩 주변","도곡로 510 ","대치동 989-3","","",""
"89","대치2-106","강남경찰서 주변","테헤란로114길 23 ","대치동 998-1","","",""
"90","대치2-107","남성빌딩 주변","도곡로 524 ","대치동 991","","",""
"91","대치2-108","대치현대아파트상가 주변","삼성로 334 ","대치동 962-21 ","","",""
"92","대치2-109","아카데미국제학교 주변","도곡로83길 8","대치동 987","","",""
"93","대치2-110","한탐학원 주변","역삼로 522 ","대치동 965-1","","",""
"94","대치2-111","휘문중고등학교 주변","역삼로 546 ","대치동 967","","",""
"95","대치2-112","대치현대A 주변","삼성로 314 ","대치동 988","","",""
"96","대치2-113","렉서스강남전시장 주변","영동대로 312 ","대치동 1009","","",""
"97","대치2-114","육인빌딩 주변","영동대로86길 17","대치동 996-16","","",""
"98","대치2-115","은마아파트 북문 앞 삼거리 주변","도곡로 84길","","","",""
"99","대치2-116","하이캐슬아파트 주변","","대치동 986 ","","",""
"100","대치2-117","대상빌딩 주변","","대치동 986-4 ","","",""
"101","대치2-118","오토웨이타워 주변","영동대로417","대치동 948","","",""
"102","대치2-119","대현초 후문 건너편 주변","역삼로92길 12","대치동 970","","",""
"103","대치2-120","대치어린이집 주변","영동대로65길 11","대치동 985-1","","",""
"104","대치4-101","올리브영 주변","선릉로 312 ","대치동 936","","",""
"105","대치4-102","쌍용자동차대치전시장 주변","도곡로 435","대치동 940-13","","",""
"106","대치4-103","은마아파트입구R 주변","삼성로 301 ","대치동 941-18","","",""
"107","대치4-104","선릉역1번출구 주변","테헤란로 408 ","대치동 889-12","","",""
"108","대치4-105","성진빌딩 주변","역삼로 415 ","대치동 907-18","","",""
"109","대치4-106","풍림아이원아파트 주변","역삼로 438 ","대치동 910-5","","",""
"110","대치4-107","대치포스코더샵 주변","삼성로 417","대치동 902 ","","",""
"111","대치4-108","롯데캐슬아파트 주변","삼성로85길 11","대치동 893","","",""
"112","대치4-109","오성빌딩","선릉로 338","대치동 921","","",""
"113","대치4-110","서울독수리사역","테헤란로64길 19","대치동 890-57","","",""
"114","대치4-112","커피빈 대치한티점 주변","선릉로64길 23","대치동 924-9","","",""
"115","대치4-113","명문빌딩 주변","삼성로67길 22","대치동 915-21","","",""
"116","대치4-114","우리빌딩 주변","삼성로71길 21","대치동 914","","",""
"117","대치4-115","gs25 대치제일점 주변","선릉로72길 20 ","대치동 920-8","","",""
"118","대치4-116","미니스톱대치시내점 건너편 주변","삼성로61길 26","대치동 933-15","","",""
"119","대치4-117","CU대치태양점 주변","선릉로68길 9 ","대치동 921-17","","",""
"120","도곡1-101","도곡경남아파트 주변","논현로 209 ","도곡동 967-1","","",""
"121","도곡1-102","LG전자 주변","남부순환로 2629 ","도곡동 959-28","","",""
"122","도곡1-103","대림상가 주변","남부순환로365길 16","도곡동 960 ","","",""
"123","도곡1-104","SK리더스뷰오피스텔 주변","언주로 201 ","도곡동 168","","",""
"124","도곡1-105","언주초정문 주변","남부순환로363길 16","도곡동 902-2","","",""
"125","도곡1-106","양재SK허브프리모 주변","강남대로 240","도곡동 953-1","","",""
"126","도곡1-107","쌍용예가아파트 주변","남부순환로363길 30","도곡동 933","","",""
"127","도곡1-108","현대하이페리온아파트 주변","도곡동 944-8","도곡동 944-8","","",""
"128","도곡1-109","SK-LPG 충전소 도곡점 주변","도곡로 142","도곡동 552-4","","",""
"129","도곡1-110","신전떡볶이 도곡점 주변","남부순환로359길 27","도곡동 950-8","","",""
"130","도곡1-111","도곡현대그린아파트 상가 주변","논현로51길25","도곡동 964","","",""
"131","도곡2-101","대림아크로빌 주변","언주로30길 13 ","도곡동 467-6","","",""
"132","도곡2-102","타워팰리스D동 주변","언주로30길 56 ","도곡동 467","","",""
"133","도곡2-104","개포우성4차A상가 주변","언주로 117 ","도곡동 465","","",""
"134","도곡2-105","타워팰리스G동 주변","언주로30길 26 ","도곡동 467-29","","",""
"135","도곡2-106","도곡렉슬아파트 주변","","도곡동 527-5","","",""
"136","도곡2-107","타워팰리스F동 주변","언주로30길 57","도곡동 467-17 ","","",""
"137","도곡2-108","로덴하우스 주변","","도곡동 462-8","","",""
"138","도곡2-109","타워팰리스3차 주변","언주로30길 26 ","도곡동 467-29","","",""
"139","도곡2-110","숙명여고 정문 주변","남부순환로 2807","도곡동 91","","",""
"140","도곡2-111","늘벗근린공원 주변","도곡동 466-4","도곡동 466-4","","",""
"141","삼성1-101","인터컨티넨탈서울 주변","봉은사로 524","삼성동 159","","",""
"142","삼성1-102","세븐럭카지노 주변","봉은사로 524","삼성동 159","","",""
"143","삼성1-103","오크우드프리미어 주변","봉은사로 524","삼성동 159","","",""
"144","삼성1-104","도심공항타워빌딩 주변","테헤란로87길 36","삼성동 159-9","","",""
"145","삼성1-105","한국도심공항 주변","테헤란로87길 22","삼성동 159-6","","",""
"146","삼성1-110","리칭(삼성본점) 주변","삼성로 520 ","삼성동 156-5","","",""
"147","삼성1-113","삼성역8번출구 주변","","삼성동 168-12","","",""
"148","삼성1-114","흑돈가 주변","봉은사로86길 14 ","삼성동 147-16","","",""
"149","삼성1-115","노블발렌티웨딩홀 주변","봉은사로 633 ","삼성동 109-14","","",""
"150","삼성1-117","K707빌딩 주변","삼성로 612 ","삼성동 70-7","","",""
"151","삼성1-118","삼성역5번출구 주변","","삼성동 159-9","","",""
"152","삼성1-119","삼성동더샵 주변","봉은사로 510 ","삼성동 146-2","","",""
"153","삼성1-120","봉은사 주변","봉은사로 533 ","삼성동 77-24","","",""
"154","삼성1-121","K타워(중앙분리대) 주변","","삼성동 158-23","","",""
"155","삼성1-122","청담역2번출구 주변","영동대로 647 ","삼성동 58-2","","",""
"156","삼성1-123","진흥상가 주변","학동로88길 5","삼성동 55","","",""
"157","삼성1-124","평화빌딩 주변","봉은사로114길 30-5","삼성동 166-1","","",""
"158","삼성1-125","태형빌딩 주변","봉은사로84길 16","삼성동 146-28","","",""
"159","삼성2-101","청담역7번출구 주변","삼성로 649 ","삼성동 19-4","","",""
"160","삼성2-102","상아아파트담장 주변","삼성로 649 ","삼성동 19-4","","",""
"161","삼성2-103","한섬빌딩 주변","삼성로 635 ","삼성동 21","","",""
"162","삼성2-104","청림빌딩 주변","봉은사로 415 ","삼성동 38-30","","",""
"163","삼성2-105","성우빌딩 주변","봉은사로 451 ","삼성동 44-18","","",""
"164","삼성2-106","영상빌딩 주변","봉은사로 463 ","삼성동 49-9","","",""
"165","삼성2-107","동신빌딩 주변","테헤란로 409 ","삼성동 141-29","","",""
"166","삼성2-108","암천빌딩 주변","테헤란로 421 ","삼성동 142-46","","",""
"167","삼성2-109","대종빌딩 주변","테헤란로 435 ","삼성동 143-49","","",""
"168","삼성2-110","진흥푸른솔아파트 주변","학동로 420 ","삼성동 4-3","","",""
"169","삼성2-112","강남구청역1번출구 주변","선릉로130길 19 ","삼성동 2","","",""
"170","삼성2-113","선릉역8번출구 주변","선릉로 510 ","삼성동 141-19","","",""
"171","삼성2-114","S타워","봉은사로 469","삼성동 49-12","","",""
"172","삼성2-115","현대타워 주변","테헤란로69길 5","삼성동 142-26","","",""
"173","삼성2-116","CS공인중개사 주변","선릉로122길 4","삼성동 9-16","","",""
"174","삼성2-117","롯데캐슬아파트 주변","학동로68길 29","삼성동 11-7","","",""
"175","삼성2-118","삼성래미안2차아파트 107동 주변","","삼성동 7-5","","",""
"176","삼성2-119","삼성벨라스아파트 주변","봉은사로63길 47","삼성동 29-19","","",""
"177","삼성2-120","삼성동 양지빌딩 주변","테헤란로63길 17 ","삼성동 140-36","","",""
"178","삼성2-121","세븐일레븐삼성8호점  주변","봉은사로63길 11","삼성동 41-21","","",""
"179","삼성2-122","롯데캐슬아파트 105동 주변","선릉로126길 22","삼성동 11","","",""
"180","삼성2-123","성원타워 주변","선릉로 514","삼성동 141","","",""
"181","삼성2-201","서광아파트담장 주변","선릉로130길 19","삼성동 2","","",""
"182","세곡-101","자동차매매시장4 주변","헌릉로757길 35 ","율현동 110 ","","",""
"183","세곡-102","자동차매매시장3 주변","헌릉로745길 37 ","율현동 101-13","","",""
"184","세곡-103","자동차매매시장2 주변","","율현동 114-1 ","","",""
"185","세곡-104","자동차매매시장1 주변","","율현동 126-8 ","","",""
"186","세곡-105","자동차매매시장5 주변","헌릉로757길 35 ","율현동 110 ","","",""
"187","세곡-106","자동차매매시장6 주변","","율현동 122-5","","",""
"188","세곡-107","강남푸르지오시티 주변","","자곡동 599","","",""
"189","세곡-108","강남리더스프라자 주변","헌릉로569","세곡동 577","","",""
"190","세곡-109","세명초등학교 주변","자곡로 55","세곡동 529","","",""
"191","세곡-110","자곡초앞R 주변","","자곡동 605","","",""
"192","세곡-111","LH강남3단지 주변","자곡로3길22","자곡동 621","","",""
"193","세곡-112","율현초등학교 주변","","율현동 185-1","","",""
"194","세곡-113","LH강남5단지 주변","자곡로3길 21","자곡동 619","","",""
"195","세곡-114","리엔파크프라자 주변","세곡동 515","헌릉로570길 34","","",""
"196","세곡-115","세나테크놀로지 주변","헌릉로569길 19","세곡동 592","","",""
"197","세곡-116","대왕초 주변","세곡동 122-1","세곡동 122-1","","",""
"198","세곡-117","강남훼미리타운 주변","밤고개로 231","자곡동 672","","",""
"199","세곡-118","못골도서관 주변","자곡로 116 ","자곡동 632","","",""
"200","세곡-119","지식산업센터  주변","자곡동 650","자곡동 650","","",""
"201","세곡-120","서울은곡유치원 주변","헌릉로569길 41","세곡동 601","","",""
"202","세곡-121","쉼표소공원 주변","","세곡동 549","","",""
"203","세곡-122","못골아래근린공원 주변","자곡로7길 3 ","자곡동 607","","",""
"204","수서-101","로즈데일오피스텔 주변","광평로 280 ","수서동 724","","",""
"205","수서-102","로얄프라자빌딩 주변","광평로51길 8 ","수서동 714","","",""
"206","수서-103","세종고교버스정류장 주변","","수서동 707-4","","",""
"207","수서-104","수서6단지아파트 주변","밤고개로5길","수서동 723","","",""
"208","수서-105","수서역SRT 주변","","수서동 208-6","","",""
"209","수서-106","수서초 후문 주변"," 광평로51길 46 ","수서동 709","","",""
"210","수서-107","수서역SRT 버스정류소 주변","","수서동 208-6","","",""
"211","신사-101","신사역8번출구 주변","도산대로 113 ","신사동 513-4","","",""
"212","신사-102","탑텐(가로수길점)","도산대로 131 ","신사동 537-11","","",""
"213","신사-103","진우빌딩 주변","도산대로 149 ","신사동 539-10","","",""
"214","신사-104","서울리거뷰티센터 주변","논현로 847 ","신사동 582-6","","",""
"215","신사-105","MI타워 주변","강남대로 626 ","신사동 502-5","","",""
"216","신사-106","카로시티2빌딩 주변","압구정로 156 ","신사동 579","","",""
"217","신사-107","신구초교공영주차장 주변","압구정로18길 28","신사동 550-11 ","","",""
"218","신사-108","신구초교정문 주변","압구정로18길 28","신사동 550-11 ","","",""
"219","신사-109","신사중학교 주변","압구정로 123","압구정동 410 ","","",""
"220","신사-110","압구정역4번출구 주변","","신사동 582-14","","",""
"221","신사-111","신사7호공영주차장 주변","도산대로25길 32","신사동 564","","",""
"222","신사-112","정인빌딩 주변","논현로159길 57","신사동 554","","",""
"223","신사-113","신사동빌라트","도산대로15길 29","신사동 545-23","","",""
"224","신사-114","훈지빌딩 주변","압구정로14길 6","신사동 548-4","","",""
"225","신사-115","태명빌딩 주변","압구정로 12길 46","신사동534-18","","",""
"226","신사-116","광림교회 주변","논현로175길 49","신사동 571-2","","",""
"227","신사-214","신구초등학교 주변","압구정로18길 28","신사동 550-11 ","","",""
"228","압구정-101","씨네시티빌딩 주변","도산대로 323 ","신사동 651-21","","",""
"229","압구정-102","동건빌딩 주변","압구정로 312 ","신사동 638-6","","",""
"230","압구정-103","세진성형외과 주변","압구정로 322 ","신사동 639-4","","",""
"231","압구정-104","한양상가(로데오입구) 주변","압구정로 334 ","신사동 660-8","","",""
"232","압구정-105","H&M(압구정점) 주변","압구정로 342 ","신사동 661-3","","",""
"233","압구정-106","도산공원입구 주변","도산대로 313 ","신사동 630-31","","",""
"234","압구정-107","학동사거리 주변","선릉로 801 ","신사동 666-13","","",""
"235","압구정-108","SC은행(압구정동지점) 주변","압구정로29길 72-1 ","압구정동 454","","",""
"236","압구정-109","선호빌딩 주변","논현로 808 ","신사동 590-22","","",""
"237","압구정-110","대언빌딩 주변","압구정로 204 ","신사동 614","","",""
"238","압구정-111","호산병원 주변","언주로 871 ","신사동 617-5","","",""
"239","압구정-112","웅가패션 주변","언주로 813 ","신사동 627-21","","",""
"240","압구정-113","이즈미 주변","언주로 851 ","신사동 621-6","","",""
"241","압구정-114","압구정역2번출구 주변","","신사동 610-10","","",""
"242","압구정-115","원방프라자 주변","논현로 838 ","신사동 598-4","","",""
"243","압구정-116","갤러리아백화점 주변","압구정로 321 ","압구정동 489","","",""
"244","압구정-117","삼원가든 주변","언주로 829 ","신사동 627-9","","",""
"245","압구정-118","한양아파트 주변","압구정로 401 ","압구정동 513","","",""
"246","압구정-119","압구정하이츠파크입구 주변","압구정로42길 78","신사동 632","","",""
"247","압구정-120","기아자동차 주변","압구정로 417 ","압구정동 518","","",""
"248","압구정-121","압구정초등학교 정문 건너편 주변","","압구정동 459","","",""
"249","압구정-122","성도빌딩 주변","도산대로 207","신사동 587-23","","",""
"250","압구정-123","한양1차아파트3동 주변","압구정로 321","압구정동 490","","",""
"251","압구정-124","한양8차아파트81동 주변","","압구정동 509","","",""
"252","역삼1-101","쌍용플래티넘밸류 주변","테헤란로4길 46","역삼동 826-37 ","","",""
"253","역삼1-102","벨레상스서울호텔 주변","테헤란로 237 ","역삼동 676","","",""
"254","역삼1-103","큰길타워 주변","테헤란로 223 ","역삼동 677-25","","",""
"255","역삼1-104","머큐어쏘도베호텔 주변","테헤란로25길 9 ","역삼동 644-18","","",""
"256","역삼1-105","GS타워북측 주변","논현로 512 ","역삼동 668-17","","",""
"257","역삼1-106","역삼빌딩 주변","테헤란로 205 ","역삼동 678-35","","",""
"258","역삼1-107","강남파이낸스센터 주변","테헤란로 152 ","역삼동 737","","",""
"259","역삼1-108","씨앤씨빌딩 주변","논현로 429 ","역삼동 738-9","","",""
"260","역삼1-109","더북컴퍼니빌딩 주변","봉은사로 230 ","역삼동 653","","",""
"261","역삼1-110","GS칼텍스 주변","언주로 559 ","역삼동 654-4","","",""
"262","역삼1-111","태승빌딩 주변","","역삼동 689-7","","",""
"263","역삼1-112","비전빌딩 주변","선릉로 517 ","역삼동 696-43","","",""
"264","역삼1-113","효림빌딩 주변","언주로 510 ","역삼동 700-6","","",""
"265","역삼1-114","상록플라자 주변","","역삼동 701-14","","",""
"266","역삼1-115","역삼세무서 주변","테헤란로 116 ","역삼동 824-19","","",""
"267","역삼1-116","한일빌딩 주변","테헤란로8길 22 ","역삼동 824-29","","",""
"268","역삼1-117","장서는날(본점) 주변","강남대로78길 35 ","역삼동 827-68","","",""
"269","역삼1-118","역삼초교R 주변","역삼로 125 ","역삼동 829-15","","",""
"270","역삼1-119","선릉역5번출구 주변","테헤란로 329 ","역삼동 705-10","","",""
"271","역삼1-120","강남역11번출구 주변","강남대로 406 ","역삼동 820-9","","",""
"272","역삼1-121","역삼역4번출구 주변","테헤란로 141 ","역삼동 646-20","","",""
"273","역삼1-122","KTB네트워크빌딩 주변","강남대로 358 ","역삼동 826-14","","",""
"274","역삼1-123","어울림아파트 주변","도곡로7길 22 ","역삼동 835-67","","",""
"275","역삼1-124","라움 주변","언주로 564 ","역삼동 680-1","","",""
"276","역삼1-125","경복아파트R 주변","언주로 565","역삼동 653-3 ","","",""
"277","역삼1-126","Why.J.빌딩 주변","역삼로 143","역삼동 751-14 ","","",""
"278","역삼1-127","롯데캐슬노블 주변","도곡로13길 19","역삼동 835-68","","",""
"279","역삼1-128","공영노외주차장 주변","도곡로21길 7","역삼동 795-25","","",""
"280","역삼1-129","황화빌딩 주변","강남대로 320","역삼동 832-7","","",""
"281","역삼1-130","서림빌딩 주변","테헤란로 115","역삼동 649-10","","",""
"282","역삼1-131","역삼푸르지오시티 주변","논현로85길 52","역삼동 735-18","","",""
"283","역삼1-132","충현1공원 주변","","역삼동666-2","","",""
"284","역삼1-133","르메르디앙호텔 주차장 주변","","역삼동 615-4","","",""
"285","역삼1-134","역삼한스빌아파트 주변","도곡로3길 26","","","",""
"286","역삼1-135","한국과학기술회관 주변","테헤란로7길 22","역삼동 635-2","","",""
"287","역삼1-136","충현복지관 주변","논현로98길 16","역삼동 669-10","","",""
"288","역삼1-137","아티스타 강남본점 주변","강남대로102길 35","역삼동 617-6","","",""
"289","역삼1-139","바나프레소 역삼대로점 주변","논현로 427-1","역삼동 738-27","","",""
"290","역삼1-140","소닉모터스 주변","논현로67길60","역삼동 834-68","","",""
"291","역삼2-101","금융결제원본사 주변","테헤란로 202 ","역삼동 717","","",""
"292","역삼2-102","I'Tower 주변","테헤란로 326 ","역삼동 707-27","","",""
"293","역삼2-103","도성초교R 주변","","역삼동 755-10","","",""
"294","역삼2-104","유진약국 주변","언주로 323 ","역삼동 773-8","","",""
"295","역삼2-105","역삼청소년수련관 주변","","역삼동 788","","",""
"296","역삼2-106","현대까르띠에아파트 주변","언주로86길 12 ","역삼동 710","","",""
"297","역삼2-107","역삼동성당 주변","언주로85길 23-11 ","역삼동 722-9","","",""
"298","역삼2-108","센트레빌아파트 주변","선릉로 423 ","역삼동 716","","",""
"299","역삼2-109","역삼e-편한세상A 주변","선릉로69길 20 ","역삼동 755-4","","",""
"300","역삼2-110","역삼2동주민센터 주변","역삼동 763-16 ","도곡로43길 20","","",""
"301","역삼2-111","강남세브란스교수연구동 주변","","역삼동 783-21","","",""
"302","역삼2-112","테헤란아이파크 주변","언주로86길 12 ","역삼동 710","","",""
"303","역삼2-113","테헤란오피스텔빌딩 주변","테헤란로52길 6","역삼동 707-38","","",""
"304","역삼2-114","이마트역삼점 주변","역삼로 310","역삼동 755","","",""
"305","역삼2-115","양자강 주변","테헤란로34길 7","역삼동 719-9","","",""
"306","역삼2-116","역삼3차아이파크아파트 105동 주변","테헤란로52길 16","역삼동 709-5","","",""
"307","역삼2-117","역삼장미공원 주변","역삼동 780-25","역삼동 780-25","","",""
"308","일원1-101","일원치안센터 주변","일원로3길 46 ","일원동 663-3","","",""
"309","일원1-102","일원1동주민센터 주변","양재대로55길 11 ","일원동 644-3","","",""
"310","일원1-103","대청초등학교 주변","","일원동 701-2","","",""
"311","일원1-104","삼성의료원앞R 주변","일원로 53 ","일원동 687","","",""
"312","일원1-105","원일빌딩 주변","개포로 670","일원동 639-7","","",""
"313","일원1-106","영희초교앞R 주변","개포로110길 46 ","일원동 690-2","","",""
"314","일원본-101","중산고교입구R 주변","일원로 90 ","일원본동 713","","",""
"315","일원본-102","한솔종합상가 주변","광평로10길 6","일원동 731","","",""
"316","일원본-103","제이스프라자 주변","광평로 196","수서동 595","","",""
"317","일원본-104","그린프라자 주변","","수서동 590","","",""
"318","일원본-105","삼성서울병원 정문 주변","","일원동 184-13","","",""
"319","일원본-106","강남유정유치원 앞 주변","광평로34길 17","수서동 591-4","","",""
"320","일원본-107","강남더샾포레스트아파트 202동 앞 주변","광평로34길 35","수서동 537","","",""
"321","일원본-108","왕복초 건너편 주변","광평로19길 10","수서동 746","","",""
"322","일원본-109","대모초등학교 정문 주변","광평로20길 27 ","일원동 736","","",""
"323","청담-101","YBM청담빌딩 주변","압구정로 410 ","청담동 78-18","","",""
"324","청담-103","페라가모전시장 주변","압구정로 433","청담동 141-15","","",""
"325","청담-104","영화빌딩 주변","학동로 441 ","청담동 46-9","","",""
"326","청담-105","청담역8번출구 주변","학동로 445 ","청담동 47-4","","",""
"327","청담-106","리임빌딩 주변","삼성로 716 ","청담동 76","","",""
"328","청담-107","디자이너클럽 주변","선릉로 816 ","청담동 85-17","","",""
"329","청담-108","대신빌딩 주변","도산대로 507 ","청담동 120-3","","",""
"330","청담-109","모나미빌딩 주변","도산대로 521 ","청담동 125-22","","",""
"331","청담-110","피앤폴루스 주변","도산대로 442 ","청담동 4-8","","",""
"332","청담-111","일식긴자 주변","도산대로 534 ","청담동 52-2","","",""
"333","청담-112","송은아트스페이스 주변","압구정로75길 6 ","청담동 118-3","","",""
"334","청담-113","원일빌딩 주변","학동로 411 ","청담동 43-9","","",""
"335","청담-114","강남세무서 주변","학동로 425 ","청담동 45","","",""
"336","청담-115","청담복집 주변","영동대로 727 ","청담동 68-6","","",""
"337","청담-116","금구빌딩 주변","","청담동 3","","",""
"338","청담-117","현대아파트상가 주변","선릉로 748 ","청담동 23","","",""
"339","청담-118","청담삼익아파트 주변","학동로 609 ","청담동 134-21","","",""
"340","청담-119","카페마룬에프 주변","도산대로 429 ","청담동 91-8","","",""
"341","청담-120","태그호이어 주변","선릉로 828 ","청담동 84-8","","",""
"342","청담-121","엘루이호텔 주변","","청담동 139-28","","",""
"343","청담-122","영동대교남단R","영동대로 741 ","청담동 53-8","","",""
